แบบฟอร์มสถานการณ์จำลองการทดสอบแอปพลิเคชัน - DealDrop,,,,,,,
รายวิชา 3130415 โครงงานนวัตกรรมดิจิทัล คณะวิทยาการจัดการ มหาวิทยาลัยราชภัฏยะลา,,,,,,,
ชื่อกลุ่ม/โครงงาน:,,,,,,,
ชื่อแอปพลิเคชัน:,DealDrop,,,,,,
รายชื่อสมาชิกผู้ทดสอบ:,,,,,,,
วันที่ทดสอบ / เวอร์ชันที่ทดสอบ:,,,,,,,
,,,,,,,
สรุปผลรวม:,ผ่าน (Pass),,0,ไม่ผ่าน (Fail),0,รวมทั้งหมด,28
FT-08,Functional Testing,การใช้สิทธิ์ Story Boost (IG/TikTok),"1. ลูกค้าโพสต์ภาพ/สตอรี่ลง Instagram หรือ TikTok พร้อมแท็กชื่อร้านค้า
2. ลูกค้าแสดงหลักฐานสตอรี่ที่เคาน์เตอร์แคชเชียร์
3. แคชเชียร์เปิดหน้าปิดบิลใน Merchant Dashboard แล้วติ๊กเลือก ""ยืนยัน Story Boost""
4. ตรวจสอบยอดรวมที่คำนวณใหม่ในบิล
5. แคชเชียร์กดยืนยันการชำระเงิน",ระบบคำนวณส่วนลด On-top หรือสิทธิ์พิเศษเพิ่มเติมลงในบิลทันที และบันทึกประวัติการใช้ Story Boost ถูกต้อง,,,
FT-09,Functional Testing,การรับคูปองกลับมาทานซ้ำ (Bounce-Back),"1. ดำเนินการชำระเงินและปิดบิลการทานอาหารที่ร้านค้าเรียบร้อย
2. ผู้ใช้เปิดหน้าแอป DealDrop แล้วไปที่เมนู ""กระเป๋าของฉัน (Bag)""
3. ตรวจสอบแท็บ ""คูปอง""
4. ตรวจหารายการคูปองทานซ้ำ (Bounce-Back Coupon) สำหรับร้านเดิม
5. ตรวจสอบเงื่อนไขและวันหมดอายุ (ต้องมีอายุใช้งาน 7 วัน)",ระบบส่งคูปองส่วนลดทานซ้ำ (Bounce-Back) เข้ากระเป๋าผู้ใช้อัตโนมัติทันที พร้อมระบุวันหมดอายุ 7 วันนับจากวันที่ชำระเงิน,,,
หมวดที่ 2: Usability Testing (ความสะดวกในการใช้งาน),,,,,,,
UT-01,Usability Testing,ผู้ใช้ใหม่เริ่มต้นเล่นเกมล่าอาหาร,"1. ส่งลิงก์แอปให้ผู้ทดสอบใหม่ที่ยังไม่มีบัญชีเปิดใช้งานบนมือถือ
2. เริ่มจับเวลาตั้งแต่หน้าแรกโหลดสมบูรณ์
3. สังเกตพฤติกรรมผู้ใช้ในการอ่านหน้า Landing Page / Banner แนะนำกติกา
4. สังเกตว่าผู้ใช้ค้นหาปุ่มเริ่มต้นหรือเริ่มล่าภารกิจได้เองหรือไม่
5. สัมภาษณ์ความเข้าใจเบื้องต้นว่าแอปนี้ทำอะไรได้บ้าง",ผู้ใช้ใหม่สามารถทำความเข้าใจกติกาการล่าภารกิจและเริ่มค้นหาร้านค้าได้ด้วยตนเองภายในเวลาไม่เกิน 2 นาที โดยไม่ต้องมีคนอธิบาย,,,
UT-02,Usability Testing,ค้นหาภารกิจด้วยคำค้นทั่วไป,"1. ผู้ทดสอบแตะที่ช่องค้นหา (Search Bar) ที่หน้าหลัก
2. พิมพ์คำค้นหา เช่น ""ชาบู"", ""กาแฟ"", หรือ ""สเต็ก""
3. สังเกตการตอบสนองและเวลาที่ใช้ในการแสดงผล
4. ตรวจสอบว่าผลลัพธ์แสดงทั้งชื่อร้าน เมนู และภารกิจที่เกี่ยวข้องหรือไม่",ระบบแสดงรายการผลลัพธ์ร้านค้าและภารกิจที่ตรงกับคำค้นหาได้อย่างแม่นยำ ภายในระยะเวลาไม่เกิน 2 วินาที,,,
UT-03,Usability Testing,การใช้งานปุ่มด่วนร้านค้าบนมือถือ,"1. ให้เจ้าของร้านเปิดหน้า Merchant Dashboard ผ่านเว็บบนสมาร์ตโฟน
2. ให้โจทย์เจ้าของร้าน: ""ต้องการปล่อยส่วนลดด่วน 1 ภารกิจ""
3. เริ่มจับเวลาและนับจำนวนคลิกตั้งแต่เริ่มจนกดยืนยันปล่อยเควสต์
4. สังเกตขนาดตัวอักษร ขนาดปุ่มกด และความสะดวกในการใช้งานด้วยมือเดียว",ปุ่มและเมนูจัดวางเหมาะสมกับจอมือถือ เจ้าของร้านสามารถตั้งค่าและปล่อยภารกิจ Flash Drop สำเร็จได้ภายใน 1-2 คลิก หรือไม่เกิน 1 นาที,,,
UT-04,Usability Testing,ตรวจสอบประวัติและกระเป๋าไอเทม,"1. ผู้ใช้กดแตะเข้าเมนู ""กระเป๋าของฉัน (Bag / Inventory)""
2. ตรวจสอบการแบ่งหมวดหมู่: คูปองที่ใช้ได้ (Active), ประวัติการใช้ (History), และไอเทมสัตว์เลี้ยง (Pet Items)
3. ทดลองแตะสลับแท็บไปมา
4. ทดลองแตะดูรายละเอียดเงื่อนไขของคูปองแต่ละใบ",หน้ากระเป๋าแสดงข้อมูลเป็นหมวดหมู่ชัดเจน ผู้ใช้แยกแยะระหว่างคูปองที่ใช้ได้กับคูปองที่หมดอายุได้อย่างง่ายดาย ไม่เกิดความสับสน,,,
หมวดที่ 3: Edge Case / Negative Testing (กรณีข้อมูลผิดปกติ),,,,,,,
ET-01,Edge Case Testing,กดรับภารกิจเมื่อสิทธิ์เต็มแล้ว (Capacity Full),"1. ค้นหาภารกิจที่มีสิทธิ์จำกัดและถูกกดรับจนครบจำนวนแล้ว (Remaining: 0)
2. ผู้ทดสอบพยายามแตะที่ปุ่ม ""รับภารกิจ (Claim)""
3. ตรวจสอบสถานะการทำงานของปุ่มและการแจ้งเตือนของระบบ","ปุ่มรับภารกิจเปลี่ยนสถานะเป็นสีเทาและปิดการทำงาน (Disabled) พร้อมแสดงข้อความชัดเจนว่า ""สิทธิ์เต็มแล้ว"" โดยไม่ยอมให้ส่งคำขอซ้ำ",,,
ET-02,Edge Case Testing,ร้านค้าตั้งค่าส่วนลดหรือจำนวนโต๊ะติดลบ,"1. เข้าสู่หน้าสร้างภารกิจใน Merchant Dashboard
2. ในช่องเปอร์เซ็นต์ส่วนลด ทดลองกรอกค่าติดลบ เช่น ""-10%"" หรือค่าเกินจริง เช่น ""150%""
3. ในช่องจำนวนโต๊ะ ทดลองกรอก ""0"" หรือ ""-3""
4. กดปุ่มยืนยันสร้างภารกิจ",ระบบปฏิเสธการบันทึกทันที พร้อมแสดงข้อความแจ้งเตือนข้อผิดพลาด (Validation Error) สีแดงระบุเงื่อนไขตัวเลขที่ถูกต้อง,,,
ET-03,Edge Case Testing,เควสต์ Flash Drop หมดเวลา 60 นาทีขณะเดินทาง,"1. ผู้ใช้กดรับภารกิจ Flash Drop ที่มีเวลานับถอยหลัง 60 นาที
2. จำลองเวลาหมด (รอจนเวลาครบ 60 นาที หรือทดสอบด้วย Token ที่หมดอายุ)
3. นำ Live QR นั้นไปให้ร้านค้าสแกนเพื่อขอใช้สิทธิ์
4. สังเกตการตอบสนองของระบบร้านค้า","เครื่องสแกนของร้านค้าแจ้งเตือนทันทีว่า ""ภารกิจหมดอายุแล้ว"" และระบบปฏิเสธการให้ส่วนลด",,,
ET-04,Edge Case Testing,นำภาพแคปหน้าจอ Live QR มาใช้ซ้ำ,"1. ผู้ใช้เปิดหน้า Live QR แล้วทำการแคปภาพหน้าจอ (Screenshot)
2. รอเวลาผ่านไป 2-3 นาที เพื่อให้ Dynamic Token มีการ Refresh หรือหมดอายุ
3. นำภาพที่แคปไว้ในเครื่องไปสแกนที่เครื่องร้านค้า
4. สังเกตผลการตรวจสอบ Token","ระบบตรวจสอบความถูกต้องของ Dynamic Token ไม่ผ่าน ปฏิเสธการใช้งาน และแจ้งเตือนว่า ""Token ไม่ถูกต้องหรือหมดอายุแล้ว"" ป้องกันการใช้ภาพแคป",,,
ET-05,Edge Case Testing,พยายามเช็คอินนอกรัศมีพิกัดร้าน (GPS Out of Range),"1. ผู้ทดสอบอยู่ในตำแหน่งที่ห่างจากพิกัดร้านค้าจริงเกินระยะกำหนด (เช่น ห่างเกิน 500 เมตร หรือ 1 กม.)
2. เปิดแอปแล้วพยายามกดปุ่ม ""เช็คอินหน้าร้านเพื่อรับแต้ม/สิทธิ์""
3. สังเกตการตรวจสอบพิกัด GPS ของระบบ","ระบบตรวจจับพิกัด GPS และปฏิเสธการเช็คอิน พร้อมแสดงข้อความแจ้งเตือนว่า ""คุณอยู่นอกพื้นที่ร้านค้า ไม่สามารถเช็คอินได้""",,,
ET-06,Edge Case Testing,อัปโหลดรูปใบเสร็จซ้ำเข้าสู่ระบบ (Receipt Collision),"1. ผู้ทดสอบถ่ายรูปใบเสร็จร้านอาหารแล้วอัปโหลดเข้าสู่ระบบเพื่อเคลมแต้มครั้งที่ 1 (สำเร็จ)
2. ให้ผู้ทดสอบคนเดิมหรือเครื่องอื่น นำรูปใบเสร็จเดิมใบนั้นมาอัปโหลดซ้ำอีกครั้ง
3. สังเกตการตรวจสอบความซ้ำซ้อนของระบบ",ระบบตรวจพบความซ้ำซ้อน (ตรวจจับจากเลขที่ใบเสร็จ วันเวลา หรือ Hash ของภาพ) ปฏิเสธการบันทึกแต้ม และแจ้งเตือนว่าใบเสร็จนี้ถูกใช้งานไปแล้ว,,,
หมวดที่ 4: Load / Performance Testing (การรองรับผู้ใช้งานจำนวนมาก),,,,,,,
LT-01,Performance Testing,แย่งกดรับสิทธิ์ Flash Drop พร้อมกัน,"1. ร้านค้าเปิดภารกิจ Flash Drop จำกัดจำนวนเพียง 5 สิทธิ์
2. เตรียมผู้ทดสอบหรือสคริปต์จำลองจำนวน 50-100 คน
3. นับถอยหลังและให้ทุกคนกดปุ่ม ""รับภารกิจ"" พร้อมกันในเสี้ยววินาทีเดียวกัน
4. ตรวจสอบจำนวนสิทธิ์ที่ถูกแจกจ่ายในฐานข้อมูล",ระบบตัดสิทธิ์และล็อกสิทธิ์ได้ครบ 5 สิทธิ์พอดี ไม่เกิดข้อผิดพลาดแจกสิทธิ์เกิน (No Overselling) และระบบตอบสนองได้รวดเร็วภายใน 3 วินาที,,,
LT-02,Performance Testing,โหลดหน้าแผนที่ Conquest Map ในชั่วโมงเร่งด่วน,"1. ใช้เครื่องมือทดสอบโหลดหรือให้ผู้ทดสอบกลุ่มใหญ่ (50-100+ ผู้ใช้) เข้าใช้งานหน้า Conquest Map พร้อมกัน
2. จับเวลาการตอบสนองของเซิร์ฟเวอร์และการเรนเดอร์หมุดร้านค้าบนหน้าจอ",หน้าแผนที่และหมุดร้านค้าแสดงผลครบถ้วนทุกหมุด ไม่เกิดอาการหน้าขาวหรือหลุด และเวลาโหลดเฉลี่ยไม่เกิน 2 วินาที,,,
LT-03,Performance Testing,ร้านค้าหลายแห่งปล่อยเควสต์พร้อมกันช่วงบ่าย,"1. จำลองร้านค้า 20-30 แห่งทำการกดยืนยันปล่อย Flash Drop พร้อมๆ กันในช่วงเวลาเดียวกัน (เช่น 14:00 น.)
2. ตรวจสอบการกระจายสัญญาณ WebSocket / Realtime ไปยังแอปผู้ใช้ทุกคน",ระบบประมวลผลคำขอพร้อมกันได้อย่างราบรื่น ไม่เกิดข้อผิดพลาดฐานข้อมูลล็อก ข้อมูลกระจายถึงหน้าจอผู้ใช้ได้ครบถ้วนโดยไม่มีเควสต์ใดตกหล่น,,,
หมวดที่ 5: Security Testing (ความปลอดภัยของข้อมูล),,,,,,,
ST-01,Security Testing,ควบคุมสิทธิ์การเข้าถึงแดชบอร์ดร้านค้า (Role Guard),"1. เข้าสู่ระบบด้วยบัญชีผู้ใช้ทั่วไป (นักศึกษา/ลูกค้า)
2. ทำการพิมพ์ URL โดยตรงใน Address Bar ไปยังเส้นทางเฉพาะของร้านค้า เช่น ""/merchant/dashboard"" หรือ ""/admin""
3. กดปุ่ม Enter เพื่อร้องขอการเข้าถึงหน้าดังกล่าว",ระบบ Role-based Guard ตรวจสอบสิทธิ์และปฏิเสธการเข้าถึงทันที พร้อมทำการ Redirect ผู้ใช้กลับไปยังหน้าแรกโดยไม่เปิดเผยข้อมูลภายในของร้านค้า,,,
ST-02,Security Testing,การปิดบังข้อมูลอ่อนไหวตามกฎหมาย PDPA,"1. จัดเตรียมรูปจำลองใบเสร็จที่มีข้อมูลหมายเลขบัตรเครดิต/เดบิต 16 หลัก
2. ทำการอัปโหลดใบเสร็จดังกล่าวเข้าสู่ระบบ
3. เข้าไปตรวจสอบการแสดงผลรูปและข้อมูลในระบบจัดการ",ระบบทำการ Masking ปิดบังข้อมูลอ่อนไหวอัตโนมัติ (เช่น แสดงเพียง XXXX-XXXX-XXXX-1234) ไม่มีการจัดเก็บหรือเปิดเผยข้อมูลการเงินในรูปแบบ Plaintext ตามมาตรฐาน PDPA,,,
ST-03,Security Testing,ทดสอบการป้องกัน Injection ในช่องค้นหา,"1. แตะที่ช่องค้นหาหรือฟิลด์กรอกข้อมูลใดๆ ในระบบ
2. ป้อนข้อความที่เป็นอักขระพิเศษและโค้ด Injection เช่น ""' OR '1'='1"" หรือ ""<script>alert(1)</script>""
3. กดยืนยันการค้นหาหรือส่งข้อมูล",ระบบทำ Sanitize กรองอักขระพิเศษอย่างปลอดภัย ไม่รันคำสั่งแปลกปลอม ไม่เกิดข้อผิดพลาด SQL Error และแสดงผลลัพธ์ว่าไม่พบข้อมูลโดยไม่เปิดเผยโครงสร้างระบบ,,,
หมวดที่ 6: UAT - User Acceptance Testing (การยอมรับของผู้ใช้จริง),,,,,,,
AT-01,UAT Testing,กลุ่มนักศึกษาทดลองใช้ระบบล่าภารกิจครบ Flow,"1. ให้นักศึกษากลุ่มทดสอบ (10 คน) ใช้งานแอปพลิเคชันตั้งแต่เริ่มต้น: ค้นหาร้าน, เปิดตี้กับเพื่อน, กดรับสิทธิ์ Live QR, และนำไปสแกนที่ร้านค้า
2. ให้ผู้ทดสอบทำแบบประเมินความพึงพอใจการใช้งานหลังเสร็จสิ้นกระบวนการทั้งหมด",นักศึกษาสามารถทำภารกิจครบวงจรได้อย่างราบรื่น และได้คะแนนความพึงพอใจเฉลี่ยไม่น้อยกว่า 4.0 จาก 5.0 คะแนน,,,
AT-02,UAT Testing,ร้านค้าทดลองปล่อย Flash Drop และตรวจยอดช่วงโต๊ะว่าง,"1. ให้เจ้าของร้านค้าทดลองใช้งานฟังก์ชันปล่อย Flash Surge Drop บนมือถือด้วยตนเอง
2. ให้ร้านค้าทดลองใช้กล้องสแกนยืนยัน Live QR ของลูกค้าและตรวจสอบสรุปยอดในหน้า Insight
3. จับเวลาตั้งแต่เริ่มต้นจนจบขั้นตอน",เจ้าของร้านสามารถตั้งค่าปล่อยภารกิจและสแกนตัดสิทธิ์ได้ด้วยตนเองภายในเวลาไม่เกิน 3 นาที โดยไม่ต้องขอความช่วยเหลือจากทีมงาน,,,
AT-03,UAT Testing,ประเมินความพึงพอใจต่อระบบ Gamification น้องมะพร้าว,"1. ให้ผู้ทดสอบได้สัมผัสระบบน้องมะพร้าว สะสมแต้ม XP ให้อาหาร และดูระดับการเติบโต
2. สอบถามความคิดเห็นผ่านแบบประเมินเรื่องแรงจูงใจและความสนุก",ผู้ทดสอบมากกว่า 80% ระบุว่าระบบเลี้ยงน้องมะพร้าวและการสะสมแต้มช่วยสร้างความสนุกสนานและเป็นแรงจูงใจให้อยากกลับมาใช้บริการซ้ำ,,,
AT-04,UAT Testing,การตอบสนองต่อ Push Notification เควสต์ด่วนช่วงบ่าย,"1. จำลองการส่งข้อความแจ้งเตือน (Push Notification) เควสต์ด่วน Flash Drop ในช่วงเวลาบ่าย (14:30 น.) ไปยังกลุ่มผู้ทดสอบ
2. วัดอัตราการเปิดดูข้อความแจ้งเตือนและการคลิกเข้าสู่แอปพลิเคชัน",ผู้ทดสอบเปิดดูการแจ้งเตือนและแตะเข้าสู่แอปพลิเคชันเพื่อดูรายละเอียดภารกิจไม่น้อยกว่า 30% ของผู้ที่ได้รับการแจ้งเตือนทั้งหมด,,,
